Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1620863298,6,,Aggregated,10.600000,0.000000,69,70,70,70,71,78,100,100,110,110,110,139,0,69,70.43504676335196,65.51162601681426,106.15114198299125,26.0
1620863299,6,,Aggregated,10.600000,0.000000,69,70,70,70,71,97,100,110,150,150,150,149,0,69,70.92368662483902,64.70727900159545,147.064552991651,26.0
1620863300,6,,Aggregated,10.600000,0.000000,69,70,70,70,71,98,100,110,150,150,150,159,0,69,70.90318534646254,64.70727900159545,147.064552991651,26.0
1620863301,6,,Aggregated,10.500000,0.000000,69,70,70,70,71,97,100,110,150,150,150,171,0,69,70.70070819923114,64.70727900159545,147.064552991651,26.0
1620863302,6,,Aggregated,10.600000,0.000000,69,70,70,70,72,92,100,110,150,150,150,181,0,69,70.90679366329366,64.70727900159545,147.064552991651,26.0
1620863303,6,,Aggregated,10.600000,0.000000,69,70,70,70,72,92,100,110,150,150,150,190,0,69,70.82041326855114,64.70727900159545,147.064552991651,26.0
1620863304,6,,Aggregated,10.600000,0.000000,69,70,70,70,72,85,100,100,150,150,150,201,0,69,70.83244707472437,64.70727900159545,147.064552991651,26.0
1620863305,6,,Aggregated,10.500000,0.000000,69,69,70,70,72,85,100,100,150,150,150,213,0,69,70.70893426319178,64.70727900159545,147.064552991651,26.0
1620863306,6,,Aggregated,10.600000,0.000000,69,69,70,70,73,85,100,100,150,150,150,223,0,69,70.76158191507052,64.70727900159545,147.064552991651,26.0
1620863307,6,,Aggregated,10.600000,0.000000,68,69,70,70,72,85,100,100,150,150,150,232,0,68,70.63713993996097,64.70727900159545,147.064552991651,26.0
1620863308,6,,Aggregated,10.600000,0.000000,68,69,70,70,73,81,100,100,150,150,150,243,0,68,70.59814625502557,64.70727900159545,147.064552991651,26.0
1620863309,6,,Aggregated,10.400000,0.000000,68,69,70,70,75,87,100,100,150,150,150,255,0,68,70.85684894883147,64.70727900159545,147.064552991651,26.0
1620863310,6,,Aggregated,10.600000,0.000000,68,69,70,71,77,88,100,100,150,150,150,264,0,68,71.0185091852371,64.70727900159545,147.064552991651,26.0
1620863311,6,,Aggregated,10.600000,0.000000,68,69,70,71,78,91,100,100,150,150,150,274,0,68,71.16388382819689,64.70727900159545,147.064552991651,26.0
1620863312,6,,Aggregated,10.600000,0.000000,68,70,70,71,79,88,100,100,150,150,150,285,0,68,71.25778955043899,64.70727900159545,147.064552991651,26.0
1620863313,6,,Aggregated,10.400000,0.000000,68,69,70,71,79,88,100,100,150,150,150,297,0,68,71.1718879793755,64.70727900159545,147.064552991651,26.0
1620863314,6,,Aggregated,10.700000,0.000000,68,69,70,71,79,92,100,100,150,150,150,306,0,68,71.40831339842217,64.70727900159545,147.064552991651,26.0
1620863315,6,,Aggregated,10.500000,0.000000,68,69,70,71,80,97,100,100,150,150,150,316,0,68,71.50171888580316,64.70727900159545,147.064552991651,26.0
1620863316,6,,Aggregated,10.500000,0.000000,69,70,71,72,85,98,100,100,150,150,150,327,0,69,72.04341552265143,64.70727900159545,147.064552991651,26.0
1620863317,6,,Aggregated,10.400000,0.000000,69,70,71,72,87,100,100,100,150,150,150,338,0,69,72.39525947604774,64.70727900159545,147.064552991651,26.0
1620863318,6,,Aggregated,10.400000,0.000000,69,70,71,73,87,100,100,100,150,150,150,346,0,69,72.54236118171184,64.70727900159545,147.064552991651,26.0
1620863319,6,,Aggregated,10.300000,0.000000,69,70,71,74,87,100,100,100,150,150,150,358,0,69,72.71052832931785,64.70727900159545,147.064552991651,26.0
1620863320,6,,Aggregated,10.300000,0.000000,69,70,71,75,88,100,100,100,150,150,150,369,0,69,72.84383686148337,64.70727900159545,147.064552991651,26.0
1620863321,6,,Aggregated,10.400000,0.000000,69,70,71,75,88,100,100,100,150,150,150,378,0,69,72.90955943635372,64.70727900159545,147.064552991651,26.0
1620863322,6,,Aggregated,10.400000,0.000000,69,70,72,75,89,100,100,100,150,150,150,388,0,69,73.0449913245729,64.70727900159545,147.064552991651,26.0
1620863323,6,,Aggregated,10.300000,0.000000,69,70,72,76,89,100,100,100,150,150,150,400,0,69,73.2111333123612,64.70727900159545,147.064552991651,26.0
1620863324,6,,Aggregated,10.300000,0.000000,69,70,72,76,89,100,100,100,150,150,150,410,0,69,73.21787649501546,64.70727900159545,147.064552991651,26.0
1620863325,6,,Aggregated,10.400000,0.000000,69,70,72,76,90,100,100,100,150,150,150,420,0,69,73.27316656668526,64.70727900159545,147.064552991651,26.0
1620863326,6,,Aggregated,10.400000,0.000000,69,70,72,76,90,100,100,100,150,150,150,430,0,69,73.2287382604798,64.70727900159545,147.064552991651,26.0
1620863327,6,,Aggregated,10.300000,0.000000,69,70,72,75,89,100,100,100,150,150,150,441,0,69,73.10766991841092,64.70727900159545,147.064552991651,26.0
1620863328,6,,Aggregated,10.200000,0.000000,69,70,72,75,89,100,100,100,150,150,150,452,0,69,73.15173072354617,64.70727900159545,147.064552991651,26.0
1620863329,6,,Aggregated,10.600000,0.000000,69,70,72,75,90,100,100,100,150,150,150,462,0,69,73.21291375331766,64.70727900159545,147.064552991651,26.0
1620863330,6,,Aggregated,10.600000,0.000000,69,70,72,76,91,100,100,100,150,150,150,471,0,69,73.3598294947074,64.70727900159545,147.064552991651,26.0
1620863331,6,,Aggregated,10.300000,0.000000,69,70,73,76,92,100,100,100,150,150,150,483,0,69,73.49117405383123,64.70727900159545,147.064552991651,26.0
1620863332,6,,Aggregated,10.500000,0.000000,69,70,73,76,94,100,100,100,150,150,150,494,0,69,73.52541972692633,64.70727900159545,147.064552991651,26.0
1620863333,6,,Aggregated,10.600000,0.000000,69,70,74,77,94,100,100,100,150,150,150,503,0,69,73.66051793865218,64.70727900159545,147.064552991651,26.0
