Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/resource/123e4567-e89b-12d3-a456-426614174000/,60561,15,150.0,369.34431507704414,67.1475270000883,9036.449747999995,26.07579135086937,28.694751423613937,0.007107235206720646,150,240,360,480,940,1500,2200,2800,4700,6200,9000
,Aggregated,60561,15,150.0,369.34431507704414,67.1475270000883,9036.449747999995,26.07579135086937,28.694751423613937,0.007107235206720646,150,240,360,480,940,1500,2200,2800,4700,6200,9000
