Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/resource/123e4567-e89b-12d3-a456-426614174000/,251016,1,100.0,128.57881598797647,40.01497099943663,2671.0079500003303,25.99989642094528,37.65170886069187,0.0001499972466324532,100,130,150,160,200,250,310,370,580,1100,2700
,Aggregated,251016,1,100.0,128.57881598797647,40.01497099943663,2671.0079500003303,25.99989642094528,37.65170886069187,0.0001499972466324532,100,130,150,160,200,250,310,370,580,1100,2700
