Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1621427525,6,,Aggregated,9.500000,0.000000,100,120,130,140,160,170,190,190,200,200,200,120,0,100.0,118.07056682501411,98.47723799998676,198.00242299993442,26.0
1621427526,6,,Aggregated,9.800000,0.000000,100,120,130,140,160,160,190,190,200,200,200,129,0,100.0,117.63344837210872,98.47723799998676,198.00242299993442,26.0
1621427527,6,,Aggregated,9.600000,0.000000,100,120,140,140,160,170,190,200,200,200,200,140,0,100.0,118.44013642144414,98.47723799998676,202.61872600008246,26.0
1621427528,6,,Aggregated,9.800000,0.000000,100,120,140,140,160,170,200,200,200,200,200,148,0,100.0,119.03084484460595,97.7573829998164,202.61872600008246,26.0
1621427529,6,,Aggregated,9.600000,0.000000,100,120,130,140,160,170,190,200,200,200,200,159,0,100.0,117.8973679434048,97.7573829998164,202.61872600008246,26.0
1621427530,6,,Aggregated,9.700000,0.000000,100,120,130,140,160,170,190,200,200,200,200,170,0,100.0,117.50219168235986,97.7573829998164,202.61872600008246,26.0
1621427531,6,,Aggregated,9.800000,0.000000,100,120,130,140,160,170,190,200,200,200,200,178,0,100.0,117.50008223596011,97.7573829998164,202.61872600008246,26.0
1621427532,6,,Aggregated,9.500000,0.000000,100,110,130,140,160,160,190,200,200,200,200,189,0,100.0,116.4741721534449,97.7573829998164,202.61872600008246,26.0
1621427533,6,,Aggregated,9.900000,0.000000,100,110,130,140,160,170,190,200,200,200,200,199,0,100.0,116.49577544221411,97.7573829998164,202.61872600008246,26.0
1621427534,6,,Aggregated,9.700000,0.000000,100,110,130,140,160,170,190,200,220,220,220,208,0,100.0,117.32224648077339,97.7573829998164,218.17726300014328,26.0
1621427535,6,,Aggregated,9.800000,0.000000,100,110,130,140,160,170,190,200,220,220,220,219,0,100.0,116.82915579452431,97.7573829998164,218.17726300014328,26.0
1621427536,6,,Aggregated,9.700000,0.000000,100,110,130,140,160,170,190,200,220,220,220,227,0,100.0,116.76424190749066,97.41618599991853,218.17726300014328,26.0
1621427537,6,,Aggregated,9.800000,0.000000,100,110,130,140,160,170,190,200,220,220,220,238,0,100.0,116.50583929832167,97.41618599991853,218.17726300014328,26.0
1621427538,6,,Aggregated,9.800000,0.000000,100,110,130,140,160,160,190,200,220,220,220,247,0,100.0,115.93714476923294,97.41618599991853,218.17726300014328,26.0
1621427539,6,,Aggregated,9.800000,0.000000,100,110,130,140,160,160,190,200,220,220,220,257,0,100.0,115.52177729572226,97.41618599991853,218.17726300014328,26.0
1621427540,6,,Aggregated,9.800000,0.000000,100,110,120,140,160,160,190,200,220,220,220,268,0,100.0,114.87169585447914,97.20564499980355,218.17726300014328,26.0
1621427541,6,,Aggregated,9.800000,0.000000,100,110,120,130,160,160,190,200,220,220,220,277,0,100.0,114.42490062094069,97.20564499980355,218.17726300014328,26.0
1621427542,6,,Aggregated,9.900000,0.000000,100,110,120,130,160,160,190,200,220,220,220,287,0,100.0,114.06094551219492,97.20564499980355,218.17726300014328,26.0
1621427543,6,,Aggregated,9.800000,0.000000,100,100,120,130,160,160,190,200,220,220,220,298,0,100.0,113.59191862751815,97.20564499980355,218.17726300014328,26.0
1621427544,6,,Aggregated,9.800000,0.000000,100,100,110,130,150,160,180,200,220,220,220,306,0,100.0,113.2379568333345,97.20564499980355,218.17726300014328,26.0
1621427545,6,,Aggregated,9.900000,0.000000,100,100,110,130,150,160,180,200,220,220,220,317,0,100.0,112.90298460567932,97.20564499980355,218.17726300014328,26.0
1621427546,6,,Aggregated,10.000000,0.000000,100,100,110,130,150,160,180,200,220,220,220,328,0,100.0,112.5247403048788,97.20564499980355,218.17726300014328,26.0
1621427547,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,336,0,100.0,112.28814477380965,97.20564499980355,218.17726300014328,26.0
1621427548,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,347,0,100.0,112.04156595389139,97.20564499980355,218.17726300014328,26.0
1621427549,6,,Aggregated,10.100000,0.000000,100,100,110,120,150,160,180,200,220,220,220,356,0,100.0,111.76088636236052,97.20564499980355,218.17726300014328,26.0
1621427550,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,366,0,100.0,112.10655520765062,97.20564499980355,218.17726300014328,26.0
1621427551,6,,Aggregated,9.800000,0.000000,100,100,110,120,150,160,180,200,220,220,220,377,0,100.0,111.7388927453577,97.20564499980355,218.17726300014328,26.0
1621427552,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,386,0,100.0,111.54629515803026,97.20564499980355,218.17726300014328,26.0
1621427553,6,,Aggregated,9.900000,0.000000,100,100,110,120,150,160,180,200,220,220,220,396,0,100.0,111.2547314545451,97.20564499980355,218.17726300014328,26.0
