Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/resource/123e4567-e89b-12d3-a456-426614174000/,82903,0,100.0,139.62756449694172,66.80492599844001,6787.797822005814,26.0,29.188540866422873,0.0,100,140,160,170,240,300,400,490,1200,4600,6800
,Aggregated,82903,0,100.0,139.62756449694172,66.80492599844001,6787.797822005814,26.0,29.188540866422873,0.0,100,140,160,170,240,300,400,490,1200,4600,6800
